,pvar,pvarcode,pvarname,cutoff,use
374,1552,Atr-T,Atriplex-type,0.005,1
375,87,Atr,Atropa,0.005,1
376,1966,Atr.bd,Atropa bella-donna,0.005,1
377,2937,Atp-T,Atropa-type,0.005,1
378,88,Ave,Avena,0.005,1
379,2402,Ave.s,Avena sativa,0.005,1
380,3596,Ave.v,Avena versicolor,0.005,1
381,89,Ave-T,Avena-type,0.005,1
382,1480,Ave/Tri,Avena/Triticum,0.005,1
383,1467,Ave/Tr-T,Avena/Triticum-type,0.005,1
384,1873,Azo,Azolla,0.005,1
385,3617,Azo.n,Azolla nilotica,0.005,1
386,1865,Azo/Sal,Azolla/Salvinia,0.005,1
387,90,Bal,Baldellia,0.005,1
388,2504,Balsamae,Balsaminaceae,0.005,1
389,2159,Bab-T,Barbarea-type,0.005,1
390,91,Bar,Bartsia,0.005,1
391,1130,Bar-T,Bartsia-type,0.005,1
392,3096,Bat,Batrachium,0.005,1
393,3036,Bat-T,Batrachium-type,0.005,1
394,3192,Bll-T,Bellidiastrum-type,0.005,1
395,2488,Bel,Bellis,0.005,1
396,92,Bel-T,Bellis-type,0.005,1
397,2213,Bereae,Berberidaceae,0.005,1
398,93,Ber,Berberis,0.005,1
399,2037,Ber.v,Berberis vulgaris,0.005,1
400,3262,Ber.v-T,Berberis vulgaris-type,0.005,1
401,94,Ber-T,Berberis-type,0.005,1
402,2783,Ber.e,Berula erecta,0.005,1
403,1161,Beu-T,Berula-type,0.005,1
404,1913,Bta,Beta,0.005,1
405,1935,Bea-T,Beta-type,0.005,1
406,95,Bet,Betula,0.005,2
407,96,Bet.ex.n,Betula (excl. B. nana),0.005,2
408,1320,Bet.a,Betula alba,0.005,2
409,2938,Bet.a-T,Betula alba-type,0.005,2
410,2576,Bet.a/f,Betula alba/B. fruticosa,0.005,2
411,2399,Bet.cf.f,Betula cf. B. fruticosae,0.005,2
412,97,Bet.cf.n,Betula cf. B. nana,0.005,2
413,2398,Bet.cf.p,Betula cf. B. pendula,0.005,2
414,2573,Bet.c,Betula costata,0.005,2
415,1662,Bet.e,Betula exilis,0.005,2
416,2383,Bet.e.f,Betula exilis/B. fruticosae,0.005,2
417,2575,Bet.r,Betula fruticosa,0.005,2
418,1664,Bet.f,Betula fruticosae,0.005,2
419,2536,Bet.h,Betula humilis,0.005,2
420,2670,Bet.h/n,Betula humilis/B. nana,0.005,2
421,98,Bet.n,Betula nana,0.005,2
422,1052,Bet.n-T,Betula nana-type,0.005,2
423,1804,Bet.o,Betula obscura,0.005,2
424,2511,Bet.l,Betula pendula,0.005,2
425,3468,Bet.p/p,Betula pendula/pubescens,0.005,2
426,1663,Bet.t,Betula platyphylla,0.005,2
427,1076,Bet.p,Betula pubescens,0.005,2
428,2181,Bet.p.sl,Betula pubescens sl.,0.005,2
429,1116,Bet.p.t,Betula pubescens ssp. tortuosa,0.005,2
430,3423,Bet.p-T,Betula pubescens-type,0.005,2
431,2312,Bet.Se.A,Betula Sect. Albae,0.005,2
432,3627,Bet.Se.B,Betula Sect. Betula,0.005,2
433,2314,Bet.Se.F,Betula Sect. Fruticosae,0.005,2
434,2313,Bet.Se.N,Betula Sect. Nanae,0.005,2
435,2537,Bet.u,Betula tortuosa,0.005,2
436,99,Bet.ud,Betula undiff.,0.005,2
437,1364,Bet-T,Betula-type,0.005,2
438,100,Bet/Cor,Betula/Corylus,0.005,1
439,101,B/C/M,Betula/Corylus/Myrica,0.005,1
440,2082,Betaea,Betulaceae,0.005,1
441,102,Bid,Bidens,0.005,1
442,103,Bid-T,Bidens-type,0.005,1
443,3366,Bif.r-T,Bifora radians-type,0.005,1
444,104,Bdy.c,Bilderdykia convolvulus,0.005,1
445,105,Bdy.c-T,Bilderdykia convolvulus-type,0.005,1
446,2030,Bil.c.d,Bilderdykia convolvulus/B. dumetorum,0.005,1
447,2375,Bis,Biscutella,0.005,1
448,3047,Bis.v,Bistorta vivipara,0.005,1
449,106,Bla,Blackstonia,0.005,1
450,3426,Bla.p,Blackstonia perfoliata,0.005,1
451,2876,Bla.p-T,Blackstonia perfoliata-type,0.005,1
452,107,Bla-T,Blackstonia-type,0.005,1
453,3193,Ble,Blechnum,0.005,1
454,911,Ble.s,Blechnum spicant,0.005,1
455,2466,Bol.m,Bolboschoenus maritimus,0.005,1
456,1933,Bon,Bongardia,0.005,1
457,3375,Bon-T,Bongardia-type,0.005,1
458,108,Borae,Boraginaceae,0.005,1
459,1348,Borae.C,Boraginaceae cf. Cynoglossum,0.005,1
460,3235,Bor.ud,Boraginaceae undiff.,0.005,1
461,109,Bor,Borago,0.005,1
462,110,Bor.o,Borago officinalis,0.005,1
463,905,Bot,Botrychium,0.005,1
464,1956,Bot.o,Botrychium boreale,0.005,1
465,906,Bot.b-T,Botrychium boreale-type,0.005,1
466,907,Bot.l,Botrychium lunaria,0.005,1
467,908,Bot.l-T,Botrychium lunaria-type,0.005,1
468,909,Bot.m,Botrychium multifidum,0.005,1
469,2392,Bot.ud,Botrychium undiff.,0.005,1
470,910,Bot.v,Botrychium virginianum,0.005,1
471,1401,Bot.-T,Botrychium-type,0.005,1
472,996,Bry,Botryococcus,0.005,1
473,3698,Bot(10),Botryococcus (10),0.005,1
474,3697,Bot(5),Botryococcus (5),0.005,1
475,3699,Bot(50),Botryococcus (50),0.005,1
476,1278,Bot.b,Botryococcus braunii,0.005,1
477,2279,Bot.p,Botryococcus pila,0.005,1
478,2476,Bra,Brasenia,0.005,1
479,111,Bra.s,Brasenia schreberi,0.005,1
480,112,Brs,Brassica,0.005,1
481,1630,Bra-T,Brassica-type,0.005,1
482,3023,Braae,Brassicaceae,0.005,1
483,2274,Brk,Bruckenthalia,0.005,1
484,113,Bru,Bruckenthalia spiculifolia,0.005,1
485,1269,Bryes,Bryales,0.005,1
